Stadtbezirk ,2010 ,"",2011 ,"",2012 ,"",2013 ,"",2014,""
"","","","","",Anzahl,"","","","",""
11 Aegidii ,"", 4 , 1 ,"", 11 ,"","",- ,"", 1
12 Überwasser ,"", 2 ,- ,"", 4 ,"","",- ,"",-
13 Dom ,"", 9 , 6 ,"", 10 ,"","", 2 ,"", 1
14 Buddenturm ,"",- , 3 ,"", 25 ,"","", 2 ,"", 2
15 Martini ,"", 4 , 5 ,"", 1 ,"","", 1 ,"",-
Altstadt ,"", 19 , 15 ,"", 51 ,"","", 5 ,"", 4
21 Pluggendorf ,"", 2 , 4 ,"", 9 ,"","", 35 ,"", 40
22 Josef ,"", 5 , 17 ,"", 14 ,"","", 261 ,"", 12
23 Bahnhof ,"", 1 ,- ,"", 21 ,"","",- ,"", 25
24 Hansaplatz ,"", 40 , 6 ,"", 1 ,"","", 3 ,"", 37
25 Mauritz-West ,"", 36 , 11 ,"", 16 ,"","", 46 ,"", 15
26 Schlachthof ,"", 100 , 63 ,"", 2 ,"","", 58 ,"", 64
27 Kreuz ,"", 47 , 65 ,"", 74 ,"","", 27 ,"", 8
28 Neutor ,"", 52 , 42 ,"", 25 ,"","", 6 ,"", 77
29 Schloss ,"", 76 ,- ,"", 2 ,"","", 4 ,"", 16
Innenstadtring ,"", 359 , 208 ,"", 164 ,"","", 440 ,"", 294
31 Aaseestadt ,"", 23 , 7 ,"", 22 ,"","", 27 ,"", 16
32 Geist ,"", 13 , 3 ,"", 31 ,"","", 21 ,"", 17
33 Schützenhof ,"",- , 45 ,"", 109 ,"","", 43 ,"", 61
34 Düesberg ,"", 32 , 39 ,"", 32 ,"","", 33 ,"", 17
Mitte-Süd ,"", 68 , 94 ,"", 194 ,"","", 124 ,"", 111
43 Hafen ,"",- ,- ,"", 1 ,"","", 1 ,"",-
44 Herz-Jesu ,"", 11 , 1 ,"", 22 ,"","", 18 ,"", 48
45 Mauritz-Mitte ,"", 21 , 6 ,"", 52 ,"","", 65 ,"", 38
46 Rumphorst ,"", 56 , 3 ,"", 15 ,"","", 13 ,"", 5
47 Uppenberg ,"", 68 , 53 ,"", 50 ,"","", 61 ,"", 17
Mitte-Nordost ,"", 156 , 63 ,"", 140 ,"","", 158 ,"", 108
 Mitte ,"", 602 , 380 ,"", 549 ,"","", 727 ,"", 517
51 Gievenbeck ,"", 197 , 399 ,"", 335 ,"","", 344 ,"", 29
52 Sentrup ,"", 157 , 43 ,"", 231 ,"","", 149 ,"", 25
54 Mecklenbeck ,"", 106 , 11 ,"", 11 ,"","", 229 ,"", 239
56 Albachten ,"", 13 , 60 ,"", 48 ,"","", 53 ,"", 65
57 Roxel ,"", 33 , 69 ,"", 90 ,"","", 52 ,"", 78
58 Nienberge ,"", 57 , 69 ,"", 15 ,"","", 15 ,"", 8
 West ,"", 563 , 651 ,"", 730 ,"","", 842 ,"", 444
61 Coerde ,"", 30 , 25 ,"", 28 ,"","", 9 ,"", 31
62 Kinderhaus-Ost ,"", 3 , 7 ,"", 6 ,"","", 11 ,"", 6
63 Kinderhaus-West ,"", 1 , 13 ,"", 12 ,"","", 37 ,"", 75
68 Sprakel ,"", 11 , 10 ,"", 13 ,"","", 22 ,"", 10
 Nord ,"", 45 , 55 ,"", 59 ,"","", 79 ,"", 122
71 Mauritz-Ost ,"", 17 , 65 ,"", 210 ,"","", 40 ,"", 53
76 Gelmer-Dyckburg ,"", 32 , 19r ,"", 27 ,"","", 17 ,"", 21
77 Handorf ,"", 36 , 55 ,"", 55 ,"","", 56 ,"", 31
 Ost ,"", 85 , 139r ,"", 292 ,"","", 113 ,"", 105
81 Gremmendorf-West ,"", 5 , 3 ,"", 6 ,"","", 18 ,"", 4
82 Gremmendorf-Ost ,"", 27 , 53 ,"", 2 ,"","", 19 ,"", 27
86 Angelmodde ,"", 18 , 24 ,"", 28 ,"","", 35 ,"", 48
87 Wolbeck ,"", 73 , 51 ,"", 57 ,"","", 32 ,"", 72
 Südost ,"", 123 , 131 ,"", 93 ,"","", 104 ,"", 151
91 Berg Fidel ,"",- ,- ,"", 17 ,"","", 12 ,"", 9
95 Hiltrup-Ost ,"", 12 , 8 ,"", 4 ,"","", 5 ,"", 7
96 Hiltrup-Mitte ,"", 22 , 38 ,"", 40 ,"","", 14 ,"", 25
97 Hiltrup-West ,"", 19 , 34 ,"", 105 ,"","", 54 ,"", 59
98 Amelsbüren ,"", 48 , 27 ,"", 38 ,"","", 10 ,"", 8
 Hiltrup ,"", 101 , 107 ,"", 204 ,"","", 95 ,"", 108
Stadt Münster ,"",1 519 ,1 463r ,"",1 927 ,"","",1 960 ,"",1 447
